std,max_diff
"[1.41832012e-05 1.39043850e-05 1.35176210e-05 1.31085706e-05
 1.27046789e-05 1.23121452e-05 1.18992182e-05 1.15018374e-05
 1.12546624e-05 1.11144371e-05 1.10848264e-05 1.11853228e-05
 1.14719393e-05 1.23537048e-05 1.39712809e-05 1.57529356e-05
 1.71877484e-05 2.00559606e-05 2.54531196e-05 2.96180971e-05
 3.29465682e-05 3.80255257e-05 3.68656488e-05 2.48022259e-05
 1.55615262e-05 1.98480227e-05 2.10743713e-05 1.93931120e-05
 1.81471313e-05 1.79310291e-05 1.86819839e-05 1.88469843e-05
 1.78343667e-05 1.63305659e-05 1.52651357e-05 1.47069367e-05
 1.43345253e-05 1.43367770e-05 1.46695311e-05 1.50085904e-05
 1.52478348e-05 1.54701209e-05 1.57440469e-05 1.59867095e-05
 1.60013566e-05 1.57170339e-05 1.52846653e-05 1.48189043e-05]","[2.75177e-05 2.75177e-05 5.36100e-05 ... 5.08320e-05 2.30040e-05
 2.30040e-05]"
"[8.48729878e-06 8.56075446e-06 8.56167873e-06 8.52043988e-06
 8.51630650e-06 8.51952887e-06 8.54376817e-06 8.60214649e-06
 8.64543199e-06 8.72295237e-06 8.94841816e-06 9.30739312e-06
 9.61169715e-06 1.00214352e-05 1.14137882e-05 1.37833414e-05
 1.55174779e-05 1.62379171e-05 1.83227067e-05 2.21430241e-05
 2.44206824e-05 2.29428943e-05 1.74630852e-05 9.70033030e-06
 5.29383916e-06 7.57736669e-06 1.01363375e-05 1.21060447e-05
 1.27596505e-05 1.22349255e-05 1.14711759e-05 1.09069956e-05
 1.05737740e-05 1.03429311e-05 1.01686973e-05 1.01078585e-05
 1.00483413e-05 9.91960797e-06 9.86132491e-06 9.88363660e-06
 9.84886860e-06 9.78622331e-06 9.76403257e-06 9.69671931e-06
 9.52052443e-06 9.29315420e-06 9.06933710e-06 8.88566422e-06]","[3.01865e-05 3.01865e-05 3.01865e-05 ... 1.48264e-05 2.23624e-05
 2.23624e-05]"
